"scenario_id","n_AB","n_covariates","population_overlap","effect_modifiers","method","bias","rmse","coverage","ess_mean","convergence_rate"
"S021",500,3,"high","one","Bucher",-0.0708479483836268,0.265615404445307,0.939,500,1
"S021",500,3,"high","one","EbArm",-0.0226675800786666,0.25194224259254,0.954,462.606188820185,1
"S021",500,3,"high","one","EbEL",-0.021896017495111,0.263391264480988,0.949,462.411485964284,1
"S021",500,3,"high","one","EbTotal",-0.022710501254148,0.262089677501321,0.949,468.698206361127,1
"S021",500,3,"high","one","SigTotal",-0.0227105012526054,0.262089677501931,0.949,468.698206359431,1
"S022",100,3,"medium","one","Bucher",-0.174819743801436,0.470987518019109,0.937,100,1
"S022",100,3,"medium","one","EbArm",-0.0683574651364876,0.525872203868636,0.956,65.2637197275427,1
"S022",100,3,"medium","one","EbEL",-0.0583716288880009,0.599065981711311,0.936,55.9155190972432,1
"S022",100,3,"medium","one","EbTotal",-0.0581987861231003,0.534920747540355,0.952,69.2204530989058,1
"S022",100,3,"medium","one","SigTotal",-0.0581987861349863,0.534920747587767,0.952,69.2204530939686,1
"S023",300,3,"medium","one","Bucher",-0.148255089466672,0.336103764039767,0.912,300,1
"S023",300,3,"medium","one","EbArm",-0.0218897642676147,0.323001278916345,0.962,208.577097340139,1
"S023",300,3,"medium","one","EbEL",-0.0234525112117732,0.384986406621567,0.942,147.475498447554,1
"S023",300,3,"medium","one","EbTotal",-0.0206498649800227,0.334795610426794,0.951,213.515995144402,1
"S023",300,3,"medium","one","SigTotal",-0.0206498649800227,0.334795610426794,0.951,213.515995144402,1
"S024",500,3,"medium","one","Bucher",-0.137616611940566,0.28334643288989,0.938,500,1
"S024",500,3,"medium","one","EbArm",-0.0146992877520339,0.267111470865557,0.959,349.678477455733,1
"S024",500,3,"medium","one","EbEL",-0.0216443634297693,0.331427038600183,0.952,211.854495148982,1
"S024",500,3,"medium","one","EbTotal",-0.01704366154316,0.270113525379294,0.951,355.629812406306,1
"S024",500,3,"medium","one","SigTotal",-0.0170436615425406,0.270113525381273,0.951,355.629812400979,1
"S025",100,3,"low","one","Bucher",-0.273485030936312,0.532794954603956,0.908,100,1
"S025",100,3,"low","one","EbArm",-0.0803180561599324,3.22124777771365,0.89,26.4978109261635,0.966
"S025",100,3,"low","one","EbEL",-0.0400589028749958,1.11196585501046,0.842,13.9354176509972,1
"S025",100,3,"low","one","EbTotal",-0.0251724036588867,0.823312948905702,0.923,29.4752996177807,1
"S025",100,3,"low","one","SigTotal",-0.0251724036691799,0.823312948916362,0.923,29.4752996173685,1
"S026",300,3,"low","one","Bucher",-0.26300444501862,0.40845820806088,0.847,300,1
"S026",300,3,"low","one","EbArm",-0.0175156558564207,0.475892454251922,0.943,85.3585456997146,1
"S026",300,3,"low","one","EbEL",-0.0767101344252587,0.857354072797786,0.858,22.2673717199566,1
"S026",300,3,"low","one","EbTotal",-0.0336648282236896,0.499144384076679,0.933,86.8387942097633,1
"S026",300,3,"low","one","SigTotal",-0.0336648282236896,0.499144384076679,0.933,86.8387942097633,1
"S027",500,3,"low","one","Bucher",-0.275750940863714,0.378063103013896,0.806,500,1
"S027",500,3,"low","one","EbArm",-0.0317459105167743,0.360223620301819,0.972,142.526777610362,1
"S027",500,3,"low","one","EbEL",-0.0650255983286449,0.756462892309336,0.878,25.9713109170773,1
"S027",500,3,"low","one","EbTotal",-0.0359075826423046,0.374248459350332,0.957,143.394139127241,1
"S027",500,3,"low","one","SigTotal",-0.035907582666837,0.374248459326439,0.957,143.39413914288,1
"S028",100,6,"high","one","Bucher",-0.0790294692496796,0.464283766679349,0.947,100,1
"S028",100,6,"high","one","EbArm",-0.0382799748666117,0.473963925281417,0.962,79.6932102557215,1
"S028",100,6,"high","one","EbEL",-0.0335511813107973,0.499645385619353,0.953,84.8467490313514,1
"S028",100,6,"high","one","EbTotal",-0.0327177415438753,0.490955335743606,0.952,87.610481661808,1
"S028",100,6,"high","one","SigTotal",-0.032717741524503,0.490955335733485,0.952,87.6104816607825,1
"S029",300,6,"high","one","Bucher",-0.0947007071712654,0.317299590604684,0.946,300,1
"S029",300,6,"high","one","EbArm",-0.0470600998755366,0.296849512862735,0.963,265.243200710241,1
"S029",300,6,"high","one","EbEL",-0.0403160204342146,0.315119134797515,0.948,269.263345758427,1
"S029",300,6,"high","one","EbTotal",-0.0433172843765222,0.314067659804592,0.948,274.944997789497,1
"S029",300,6,"high","one","SigTotal",-0.0433172843765222,0.314067659804592,0.948,274.944997789497,1
"S030",500,6,"high","one","Bucher",-0.0661365925563447,0.2621869010096,0.947,500,1
"S030",500,6,"high","one","EbArm",-0.0194775315716202,0.241604838892782,0.972,450.360810174024,1
"S030",500,6,"high","one","EbEL",-0.0206085049808687,0.259077153921134,0.96,453.833292151307,1
"S030",500,6,"high","one","EbTotal",-0.0213273259324905,0.257922882228665,0.962,462.497424458639,1
"S030",500,6,"high","one","SigTotal",-0.0213273259324905,0.257922882228665,0.962,462.497424458639,1
"S031",100,6,"medium","one","Bucher",-0.145691963421401,0.484031433201629,0.938,100,1
"S031",100,6,"medium","one","EbArm",-0.0326320102339478,0.560606417758494,0.948,59.2302681793907,1
"S031",100,6,"medium","one","EbEL",-0.027756789707972,0.619688025099474,0.927,55.1134189702702,1
"S031",100,6,"medium","one","EbTotal",-0.03260773162414,0.567355554416245,0.944,66.5768000870082,1
"S031",100,6,"medium","one","SigTotal",-0.0326077316254003,0.567355554408826,0.944,66.5768000878376,1
"S032",300,6,"medium","one","Bucher",-0.167718615360175,0.339997321606063,0.91,300,1
"S032",300,6,"medium","one","EbArm",-0.0567865981562889,0.320002663752597,0.963,201.917378799165,1
"S032",300,6,"medium","one","EbEL",-0.0612978306047517,0.373737519207338,0.944,153.337582543033,1
"S032",300,6,"medium","one","EbTotal",-0.062051342113112,0.332095427135676,0.946,210.195913352464,1
"S032",300,6,"medium","one","SigTotal",-0.062051342113112,0.332095427135676,0.946,210.195913352464,1
"S033",500,6,"medium","one","Bucher",-0.152617353827467,0.301154758508358,0.913,500,1
"S033",500,6,"medium","one","EbArm",-0.0386542644970336,0.270889287427456,0.961,342.131283476327,1
"S033",500,6,"medium","one","EbEL",-0.0389900160001401,0.337134480437112,0.94,231.103555230296,1
"S033",500,6,"medium","one","EbTotal",-0.0383115712383163,0.289194736061227,0.945,352.829737758447,1
"S033",500,6,"medium","one","SigTotal",-0.0383115712321783,0.289194736066785,0.945,352.829737744075,1
"S034",100,6,"low","one","Bucher",-0.267520690252364,0.539094868124779,0.904,100,1
"S034",100,6,"low","one","EbArm",-0.498882099995819,8.31305900277117,0.779,21.3051363014206,0.806
"S034",100,6,"low","one","EbEL",-0.0901080618728501,1.18617679923685,0.851,15.602646180468,1
"S034",100,6,"low","one","EbTotal",-0.0505657972946034,0.902835736388571,0.906,27.8754333476127,1
"S034",100,6,"low","one","SigTotal",-0.0505657973319795,0.902835736300201,0.906,27.8754333470678,1
"S035",300,6,"low","one","Bucher",-0.25433067183258,0.391182667550078,0.856,300,1
"S035",300,6,"low","one","EbArm",-0.0139041289942211,0.470416691337565,0.954,82.0807147385595,1
"S035",300,6,"low","one","EbEL",-0.0478761508978651,0.730730052245329,0.89,29.2041692139083,1
"S035",300,6,"low","one","EbTotal",-0.0200333897653114,0.469332173731755,0.944,85.4332639327284,1
"S035",300,6,"low","one","SigTotal",-0.0200333897653114,0.469332173731755,0.944,85.4332639327284,1
"S036",500,6,"low","one","Bucher",-0.259943413656022,0.367359167706208,0.832,500,1
"S036",500,6,"low","one","EbArm",-0.033842360358948,0.368805943340435,0.954,138.998659038955,1
"S036",500,6,"low","one","EbEL",-0.0454851549497832,0.677343700310187,0.887,35.9434475071306,1
"S036",500,6,"low","one","EbTotal",-0.0288639553101988,0.388026867572498,0.941,141.738892658674,1
"S036",500,6,"low","one","SigTotal",-0.0288639553200967,0.3880268675635,0.941,141.738892664534,1
"S037",100,3,"high","two","Bucher",-0.107360226049576,0.471258821775325,0.947,100,1
"S037",100,3,"high","two","EbArm",-0.0394445101045714,0.463549657954751,0.962,87.2012422899031,1
"S037",100,3,"high","two","EbEL",-0.0417215749811919,0.4815755875473,0.954,89.4836933091784,1
"S037",100,3,"high","two","EbTotal",-0.0438345347054918,0.477477235004916,0.95,91.2779669807756,1
"S037",100,3,"high","two","SigTotal",-0.0438345347084204,0.477477235007948,0.95,91.2779669795364,1
"S038",300,3,"high","two","Bucher",-0.0953942390168492,0.307106806846218,0.952,300,1
"S038",300,3,"high","two","EbArm",-0.03051840678395,0.28380199313663,0.968,275.229241883895,1
"S038",300,3,"high","two","EbEL",-0.0342050312529206,0.296502005309322,0.967,276.473144023469,1
"S038",300,3,"high","two","EbTotal",-0.035868650794927,0.295670488159609,0.966,280.42097340057,1
"S038",300,3,"high","two","SigTotal",-0.035868650794927,0.295670488159609,0.966,280.42097340057,1
